ID,CATHEGORY,MINRANGE,MAXRANGE,KILLPROB,FLIGHTSPEED,REQLOS,EFFRANGE,PRECISION,ROUNDS
JAVELIN,ATGM,600,4000,0.9,600,true,20,1,10
AGM-114,ATGM,500,5000,0.9,600,true,20,1,6
AT-4,ATGM,600,2500,0.7,600,true,20,2,6
AT-6,ATGM,600,5000,0.8,600,true,20,2,6
AT-X-14,ATGM,600,5500,0.9,600,true,20,1,6
AT-10,ATGM,600,4000,0.9,600,true,20,1,6
HOT,ATGM,400,4000,0.7,600,true,20,2,6
MILAN,ATGM,400,2000,0.7,400,true,20,2,6
TOW,ATGM,400,3700,0.7,400,true,20,2,6
SWINGFIRE,ATGM,400,4000,0.8,400,true,20,2,6
AMX-13,TK,200,1800,0.8,400,true,20,2,53
T-80,TK,200,2400,0.8,400,true,20,2,40
T-90,TK,200,2400,0.9,400,true,20,1,40
T-55,TK,200,1500,0.7,400,true,20,3,43
M1-A2,TK,200,2500,0.9,400,true,20,0.3,40
LEOPARD,TK,200,2000,0.9,400,true,20,1,40
CHALLENGER,TK,200,3000,0.9,400,true,20,0.3,40
CHIEFTAIN,TK,200,3000,0.8,400,true,20,1,40
AGS-17,CREW,100,1200,0.7,300,true,20,2,10
LAW-80,CREW,100,500,0.5,300,true,20,2,10
SPG-9,CREW,200,800,0.6,400,true,20,2,10
RPG-7,CREW,100,300,0.5,300,true,20,2,10
A-6,CREW,200,2200,0.6,400,true,20,2,10
BTR-80,APCIV,100,1000,0.8,800,true,20,3,500
BTR-90,APCIV,200,2000,0.8,400,true,20,2,6
BMP-3,APCIV,200,4000,0.8,400,true,20,2,2
STRIKER,APCIV,200,2000,0.8,400,true,20,2,6
M-2,APCIV,100,3000,0.7,400,true,20,2,6
